// Format: letter #|letter from passage|predicted letters|scan time
1|I|TBOAI|6
2|f|NSCTL|8
3| |IFETO|3
4|m|TBOAI|12
5|y|AEIOP|9
6| |SCOTL|3
7|e|TBOAI|6
8|x|RNSLD|7
9|p|TPCIA|3
10|e|ELROA|2
11|r|RDNCL|2
12|i|ITECS|2
13|e|MEANL|3
14|n|NMCUS|2
15|c|CTZWH|2
16|e|EIYHO|2
17| |DRSNW|3
18|i|TBOAI|6
19|s|NSCTL|3
20| |TEHSC|3
21|o|TBOAI|4
22|f|NRLMS|8
23| |FTIEO|3
24|a|TBOAI|5
25|n|NRLTS|2
26|y|DTSGA|9
27| |AOWLT|3
28|v|TBOAI|9
29|a|EIAOS|4
30|l|LNRTS|2
31|u|EUILA|3
32|e|EATIS|2
33| |SDCRP|3
34|t|TBOAI|2
35|o|EIAOR|5
36| |RNPMS|3
37|y|TBOAI|9
38|o|SANLE|12
39|u|UNSRT|2
40|,|NRTSG|5
41| |NRTSG|3
42|m|TBOAI|12
43|a|AEIOP|2
44|y|NRTSL|9
45|b|AEOBN|5
46|e|EOARU|2
47| |LRESC|3
48|i|TBOAI|6
49|t|NSCTL|5
50| |EIAYT|3
51|i|TBOAI|6
52|s|NSCTL|3
53| |TEHSC|3
54|b|TBOAI|3
55|e|EAOLI|2
56|c|RLNAS|8
57|a|KHOAU|5
58|u|SUMRN|3
59|s|SETCX|2
60|e|EATLI|2
61| |WDSYR|3
62|I|TBOAI|6
63| |NSCTL|3
64|h|TBOAI|10
65|a|AEOIU|2
66|v|RNMLT|9
67|e|EIAON|2
68| |NRLSD|3
69|a|TBOAI|5
70| |NRLTS|3
71|f|TBOAI|8
72|o|IOEAR|3
73|o|RLNOU|5
74|t|TDLGN|2
75| |BSLHW|3
76|i|TBOAI|6
77|n|NSCTL|2
78| |GETAD|3
79|b|TBOAI|3
80|o|EAOLI|4
81|t|RONUL|8
82|h|TEASH|6
83| |AENWS|3
84|t|TBOAI|2
85|h|EIAOR|10
86|e|EOIAR|2
87| |RSNOA|3
88|s|TBOAI|6
89|p|TEISH|13
90|e|EOAIR|2
91|a|CRELN|5
92|k|KRCSD|2
93|i|EIOAS|3
94|n|NSTEL|2
95|g|GSOAE|2
96| |LNSIT|3
97|a|TBOAI|5
98|n|NRLTS|2
99|d|DTSGA|2
100| |EAISR|3
101|n|TBOAI|11
102|o|EGTAD|12
103|n|RNTSM|3
104| |ECISP|3
105|s|TBOAI|6
106|p|TEISH|13
107|e|EOAIR|2
108|a|CRELN|5
109|k|KRCSD|2
110|i|EIOAS|3
111|n|NSTEL|2
112|g|GSOAE|2
113| |LNSIT|3
114|w|TBOAI|5
115|o|AEIWO|6
116|r|ROLNM|2
117|l|KLTDM|3
118|d|DEAWI|2
119|s|CSWLB|3
120|.|TEPCH|4
121| |TEPCH|3
122|T|TBOAI|2
